,Original,Plain
3668,societyThe,societythe
3669,songFevicol,songfevicol
3670,songsAbdirashid,songsabdirashid
3671,splitsParty,splitsparty
3672,springBBC,springbbc
3673,stadiumA,stadiuma
3674,staffHome,staffhome
3675,stakeExplainer,stakeexplainer
3676,standardsSarah,standardssarah
3677,starvationLink,starvationlink
3678,statelessNRC,statelessnrc
3679,statementAbbott,statementabbott
3680,statementDocumenta,statementdocumenta
3681,statementFacebook,statementfacebook
3682,statementI,statementi
3683,statementLink,statementlink
3684,statementMicrosoft,statementmicrosoft
3685,statementNathi,statementnathi
3686,statesThe,statesthe
3687,statisticsHome,statisticshome
3688,statusMr,statusmr
3689,statusUnesco,statusunesco
3690,stoolsSnowdon,stoolssnowdon
3691,storyBBC,storybbc
3692,storyMoskva,storymoskva
3693,strategyLink,strategylink
3694,strikeBBC,strikebbc
3695,studentBBC,studentbbc
3696,studiesAmerican,studiesamerican
3697,studyGlobal,studyglobal
3698,stuntMax,stuntmax
3699,successorSir,successorsir
3700,suggestsUKHSA,suggestsukhsa
3701,superPower,superpower
3702,supportBBC,supportbbc
3703,supportMost,supportmost
3704,supportUkrainian,supportukrainian
3705,supportedWelsh,supportedwelsh
3706,surveyONS,surveyons
3707,survivalA,survivala
3708,suspectsLink,suspectslink
3709,sustainableLink,sustainablelink
3710,syndromeVascular,syndromevascular
3711,syndromeWolff,syndromewolff
3712,system'BBC,system'bbc
3713,systemThe,systemthe
3714,systemsStimson,systemsstimson
3715,tLocal,tlocal
3716,takeoverAfter,takeoverafter
3717,talkSPORT,talksport
3718,tankLink,tanklink
3719,tapDuring,tapduring
3720,taxWhat,taxwhat
3721,technologyFrench,technologyfrench
3722,terrorIsraeli,terrorisraeli
3723,testBBC,testbbc
3724,textLink,textlink
3725,thatCristoforetti,thatcristoforetti
3726,thatFrom,thatfrom
3727,theBBC,thebbc
3728,theChinese,thechinese
3729,themThey,themthey
3730,themselvesThe,themselvesthe
3731,thisLink,thislink
3732,thriveLink,thrivelink
3733,throneBBC,thronebbc
3734,throughLink,throughlink
3735,tickLink,ticklink
3736,timeShould,timeshould
3737,timeTo,timeto
3738,timelineBBC,timelinebbc
3739,tipsTop,tipstop
3740,to14C,to14c
3741,to20C,to20c
3742,to31C,to31c
3743,to5C,to5c
3744,to9C,to9c
3745,todayFor,todayfor
3746,todayLink,todaylink
3747,toiletsCardiff,toiletscardiff
3748,toldNewport,toldnewport
3749,topI,topi
3750,tortureAmnesty,tortureamnesty
3751,tourFarewell,tourfarewell
3752,trailLink,traillink
3753,transMr,transmr
3754,travelBBC,travelbbc
3755,travelUK,traveluk
3756,treatmentIVF,treatmentivf
3757,treesLink,treeslink
3758,trialBBC,trialbbc
3759,trialSmart,trialsmart
3760,trialledEarly,trialledearly
3761,tumourCancer,tumourcancer
3762,turnoverLink,turnoverlink
3763,tweetA,tweeta
3764,tweetDmytro,tweetdmytro
3765,tweetLink,tweetlink
3766,tweetRudenko,tweetrudenko
3767,tweetedLink,tweetedlink
3768,tweetedMatviichuk,tweetedmatviichuk
3769,tweetedPelosi,tweetedpelosi
3770,tweetedSmriti,tweetedsmriti
3771,tweetedUK,tweeteduk
3772,tweetedWu,tweetedwu
3773,tweetedhttpstwittercomNadineDorriesstatus1533763405844185088s20tb8a3bmwPa4GuMD8WXOKg,tweetedhttpstwittercomnadinedorriesstatus1533763405844185088s20tb8a3bmwpa4gumd8wxokg
3774,tweetedhttpstwittercomWelshAmbulancestatus1508914055582466056,tweetedhttpstwittercomwelshambulancestatus1508914055582466056
3775,uaSOSorg,uasosorg
3776,unfaithfulMr,unfaithfulmr
3777,universitiesLink,universitieslink
3778,upCardInEgypt,upcardinegypt
3779,usBut,usbut
3780,vaccineHPV,vaccinehpv
3781,variantBBC,variantbbc
3782,variantModerna,variantmoderna
3783,variantOmicron,variantomicron
3784,variantsWHO,variantswho
3785,ventureSince,venturesince
3786,vesselsRussia,vesselsrussia
3787,videoAn,videoan
3788,videoRussian,videorussian
3789,videoSnapchat,videosnapchat
3790,vineMr,vinemr
3791,violenceBBC,violencebbc
3792,visaSchengen,visaschengen
3793,visasUkrainian,visasukrainian
3794,visitLink,visitlink
3795,visitingIn,visitingin
3796,visitorsLink,visitorslink
3797,visitorsUK,visitorsuk
3798,voteA,votea
3799,voteBBC,votebbc
3800,voteLink,votelink
3801,voteSupplementary,votesupplementary
3802,voteUK,voteuk
3803,votesI,votesi
3804,warBBC,warbbc
3805,warRussia,warrussia
3806,warmingBBC,warmingbbc
3807,warnedSP,warnedsp
3808,warningLink,warninglink
3809,warningMet,warningmet
3810,warningsExtreme,warningsextreme
3811,warningsFlood,warningsflood
3812,warriorsLink,warriorslink
3813,was13C,was13c
3814,was3C,was3c
3815,wasI'd,wasi'd
3816,watchdogBroking,watchdogbroking
3817,watchdogLink,watchdoglink
3818,wayLink,waylink
3819,websiteAn,websitean
3820,websiteArab,websitearab
3821,websiteBBC,websitebbc
3822,websiteFitbit,websitefitbit
3823,websiteGovernment,websitegovernment
3824,websiteHOP,websitehop
3825,websiteHonestjohncouk,websitehonestjohncouk
3826,websiteIn,websitein
3827,websiteLink,websitelink
3828,websiteLnk,websitelnk
3829,websitePublic,websitepublic
3830,websiteSWAG,websiteswag
3831,weekA,weeka
3832,weekBBC,weekbbc
3833,weekLink,weeklink
3834,weekendM48,weekendm48
3835,weekendWelsh,weekendwelsh
3836,weeksAP,weeksap
3837,welcomeUK,welcomeuk
3838,wellWe,wellwe
3839,whipThe,whipthe
3840,whyBBC,whybbc
3841,wigsDisguised,wigsdisguised
3842,windLink,windlink
3843,windMet,windmet
3844,winnersA,winnersa
3845,womanBBC,womanbbc
3846,womenBetter,womenbetter
3847,workersUber,workersuber
3848,workingI'm,workingi'm
3849,worldIt,worldit
3850,worldPhoto,worldphoto
3851,worldUN,worldun
3852,worseLink,worselink
3853,wroteLink,wrotelink
3854,xDesign,xdesign
3855,yearA,yeara
3856,yearAll,yearall
3857,yearAudit,yearaudit
3858,yearBBC,yearbbc
3859,yearDanske,yeardanske
3860,yearIn,yearin
3861,yearLink,yearlink
3862,yearNation,yearnation
3863,yearNovember,yearnovember
3864,yearOfgem,yearofgem
3865,yearThe,yearthe
3866,yearsEllie,yearsellie
3867,yearsIsrael,yearsisrael
3868,yearsLink,yearslink
3869,yearsRunrig,yearsrunrig
3870,yearsSince,yearssince
3871,yearsUS,yearsus
3872,yesterdayInstagram,yesterdayinstagram
3873,zeroLink,zerolink
3874,zoneForget,zoneforget
